CandidateID,Department,Applied,Interviewed,Selected,Rejected
201,Finance,191,43,26,17
202,HR,102,92,17,75
203,Finance,173,35,7,28
204,Marketing,66,26,16,10
205,Marketing,155,104,31,73
206,Finance,103,28,22,6
207,Finance,139,135,70,65
208,IT,53,28,27,1
209,Finance,179,35,6,29
210,HR,90,32,11,21
211,IT,58,26,17,9
212,IT,163,162,101,61
213,HR,80,28,15,13
214,Marketing,162,22,16,6
215,Sales,81,65,26,39
216,Sales,114,86,37,49
217,HR,73,46,13,33
218,Sales,179,40,16,24
219,HR,98,57,14,43
220,Operations,100,44,33,11
221,Operations,91,51,45,6
222,Marketing,86,86,24,62
223,Sales,73,71,55,16
224,Sales,121,103,45,58
225,HR,104,97,55,42
226,Marketing,162,35,22,13
227,Marketing,123,95,45,50
228,Finance,181,98,55,43
229,Marketing,188,172,63,109
230,Marketing,138,100,14,86
231,Operations,66,25,9,16
232,IT,161,141,113,28
233,Finance,60,56,14,42
234,HR,85,78,18,60
235,HR,196,98,21,77
236,Operations,77,72,11,61
237,IT,89,63,25,38
238,Marketing,95,82,73,9
239,IT,170,115,41,74
240,HR,82,47,27,20
241,Finance,148,32,32,0
242,Marketing,152,132,41,91
243,Sales,51,38,6,32
244,IT,58,47,31,16
245,Sales,170,111,6,105
246,HR,156,63,22,41
247,Finance,101,40,31,9
248,Operations,117,39,31,8
249,Finance,98,43,23,20
250,IT,187,142,112,30
