EmployeeID,BasicSalary,Bonus,Tax,NetSalary
1001,96377,7237,10361,93253
1002,127252,2702,12995,116959
1003,57123,7588,6471,58240
1004,133337,11724,14506,130555
1005,108816,11477,12029,108264
1006,68835,9889,7872,70852
1007,71501,7949,7945,71505
1008,127787,7427,13521,121693
1009,93789,9948,10373,93364
1010,136752,10328,14708,132372
1011,57258,5346,6260,56344
1012,74679,13615,8829,79465
1013,75865,9817,8568,77114
1014,144904,13520,15842,142582
1015,53628,10727,6435,57920
1016,33154,10203,4335,39022
1017,44059,5949,5000,45008
1018,69338,2821,7215,64944
1019,116689,12225,12891,116023
1020,75104,11306,8641,77769
1021,143364,14087,15745,141706
1022,123629,9372,13300,119701
1023,139900,3234,14313,128821
1024,48790,6642,5543,49889
1025,117842,11218,12906,116154
1026,141145,9220,15036,135329
1027,57105,10225,6733,60597
1028,83992,6298,9029,81261
1029,128259,7328,13558,122029
1030,92930,12129,10505,94554
1031,100834,9948,11078,99704
1032,127068,12070,13913,125225
1033,103830,9625,11345,102110
1034,128945,6524,13546,121923
1035,55203,13653,6885,61971
1036,65992,7865,7385,66472
1037,36377,2405,3878,34904
1038,118931,8387,12731,114587
1039,61027,13510,7453,67084
1040,82329,5997,8832,79494
1041,95012,9040,10405,93647
1042,77968,11666,8963,80671
1043,26479,2194,2867,25806
1044,62978,4268,6724,60522
1045,108268,12610,12087,108791
1046,110219,2326,11254,101291
1047,103421,6694,11011,99104
1048,113989,9831,12382,111438
1049,83114,5482,8859,79737
1050,73764,4969,7873,70860
1051,98369,12227,11059,99537
1052,29240,2535,3177,28598
1053,61187,10141,7132,64196
1054,98730,3787,10251,92266
1055,124069,14266,13833,124502
1056,82329,9238,9156,82411
1057,123355,13229,13658,122926
1058,40893,2310,4320,38883
1059,64435,13212,7764,69883
1060,39778,11610,5138,46250
1061,46400,12495,5889,53006
1062,50465,3546,5401,48610
1063,94053,8634,10268,92419
1064,102334,7281,10961,98654
1065,35884,2295,3817,34362
1066,104358,6094,11045,99407
1067,34096,9318,4341,39073
1068,121262,9750,13101,117911
1069,43702,8938,5264,47376
1070,149126,3342,15246,137222
1071,105217,2900,10811,97306
1072,56387,12633,6902,62118
1073,89559,14415,10397,93577
1074,46009,13315,5932,53392
1075,70971,8251,7922,71300
1076,144977,8991,15396,138572
1077,140491,10274,15076,135689
1078,48597,9476,5807,52266
1079,47920,2373,5029,45264
1080,36110,4865,4097,36878
1081,77018,12421,8943,80496
1082,99328,4538,10386,93480
1083,117175,4759,12193,109741
1084,97014,8626,10564,95076
1085,29818,13255,4307,38766
1086,140921,2558,14347,129132
1087,41080,3341,4442,39979
1088,112076,3422,11549,103949
1089,52964,10592,6355,57201
1090,106491,10488,11697,105282
1091,108088,5886,11397,102577
1092,47998,14674,6267,56405
1093,40049,12123,5217,46955
1094,100476,5298,10577,95197
1095,61480,11338,7281,65537
1096,39908,10333,5024,45217
1097,132242,4271,13651,122862
1098,93529,10637,10416,93750
1099,89100,12276,10137,91239
1100,95246,9571,10481,94336
